id,period,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,firm,firm_type,access point,speed actual,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,receiving network coverage,pickup method,date,corridor,payment instrument
14981,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,MoneyGram,Money Transfer Operator,Not available,Less than one hour,295000.0,200.0,TZS,20650.0,0.000651,1.36,8.36,735000.0,500.0,TZS,38220.0,0.000651,1.36,6.56,0.00066,yes,Nationwide,Cash,24/Jan/2011,TZAKEN,
14980,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,KCB (Kenya Commercial Bank),Bank,Not available,Same day,295000.0,200.0,TZS,29500.0,0.0006532,1.03,11.03,735000.0,500.0,TZS,29400.0,0.0006532,1.03,5.03,0.00066,yes,Major cities,Own/partner Bank Account,24/Jan/2011,TZAKEN,
14983,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,NMB (National Microfinance Bank),Non-Bank FI,Not available,3-5 days,295000.0,200.0,TZS,29500.0,0.0006494,1.61,11.61,735000.0,500.0,TZS,29400.0,0.0006494,1.61,5.61,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14986,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,Tanzania Postal Corporation,Post office,Not available,Less than one hour,295000.0,200.0,TZS,32450.0,0.000651,1.36,12.36,735000.0,500.0,TZS,45570.0,0.000651,1.36,7.56,0.00066,yes,Nationwide,Cash,24/Jan/2011,TZAKEN,
14976,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,Barclays,Bank,Not available,Next day,295000.0,200.0,TZS,51625.0,0.0006473,1.92,19.42,735000.0,500.0,TZS,51450.0,0.0006473,1.92,8.92,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14982,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,NBC (National Bank of Commerce Ltd),Bank,Not available,3-5 days,295000.0,200.0,TZS,73750.0,0.0006477,1.86,26.86,735000.0,500.0,TZS,73500.0,0.0006477,1.86,11.86,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14977,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,Cooperative Rural Development Bank (CRDB),Bank,Not available,2 days,295000.0,200.0,TZS,73750.0,0.0006452,2.24,27.24,735000.0,500.0,TZS,73500.0,0.0006452,2.24,12.24,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14987,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,MoneyGram,Money Transfer Operator,Not available,Next day,295000.0,200.0,TZS,88500.0,0.0006627,-0.41,29.59,735000.0,500.0,TZS,88200.0,0.0006627,-0.41,11.59,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14984,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,Stanbic Bank,Bank,Not available,2 days,295000.0,200.0,TZS,81125.0,0.000643,2.58,30.08,735000.0,500.0,TZS,80850.0,0.000643,2.58,13.58,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
14978,2011_1Q,TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..,KEN,Kenya,Sub-Saharan Africa,Low income,IDA,..,Exim Bank Tanzania Ltd,Bank,Not available,2 days,295000.0,200.0,TZS,88500.0,0.0006588,0.18,30.18,735000.0,500.0,TZS,88200.0,0.0006588,0.18,12.18,0.00066,yes,Nationwide,Bank Account,24/Jan/2011,TZAKEN,
