id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
14981,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,6.999999999999999,1.36,8.36,5.199999999999999,1.36,6.56
14980,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,KCB,Bank,Not available,Same day,12.0,yes,Major cities,own/partner bank account,,10.0,1.03,11.03,4.0,1.03,5.03
14983,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,NMB (National Microfinance Bank),Non-Bank FI,Not available,3-5 days,96.0,yes,Nationwide,bank account,,10.0,1.61,11.61,4.0,1.61,5.61
14986,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,Tanzania Postal Corporation,Post office,Not available,Less than one hour,0.5,yes,Nationwide,cash,,11.0,1.36,12.36,6.199999999999999,1.36,7.56
14976,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,Barclays,Bank,Not available,Next day,24.0,yes,Nationwide,bank account,,17.5,1.92,19.42,7.0,1.92,8.92
14982,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,NBC,Bank,Not available,3-5 days,96.0,yes,Nationwide,bank account,,25.0,1.86,26.86,10.0,1.86,11.86
14977,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,CRDB Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,25.0,2.24,27.24,10.0,2.24,12.24
14987,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,MoneyGram,Money Transfer Operator,Not available,Next day,24.0,yes,Nationwide,bank account,,30.0,-0.41,29.59,12.0,-0.41,11.59
14984,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,Stanbic Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,27.5,2.58,30.08,11.0,2.58,13.58
14978,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,30.0,0.18,30.18,12.0,0.18,12.18
14979,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,30.0,1.03,31.03,12.0,1.03,13.03
14985,2011_1Q,2011,2011.0,TZAKEN,TZA,KEN,Standard Chartered Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,45.0,0.65,45.65,18.0,0.65,18.65
14993,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,6.999999999999999,1.36,8.36,5.199999999999999,1.36,6.56
14992,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,KCB,Bank,Not available,Same day,12.0,yes,Major cities,,,10.0,1.03,11.03,4.0,1.03,5.03
14995,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,NMB (National Microfinance Bank),Non-Bank FI,Not available,3-5 days,96.0,yes,Nationwide,,,10.0,1.61,11.61,4.0,1.61,5.61
14998,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,Tanzania Postal Corporation,Post office,Not available,Less than one hour,0.5,yes,Nationwide,,,11.0,1.36,12.36,6.199999999999999,1.36,7.56
14988,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,Barclays,Bank,Not available,Next day,24.0,yes,Nationwide,,,17.5,1.92,19.42,7.0,1.92,8.92
14994,2011_1Q,2011,2011.0,TZARWA,TZA,RWA,NBC,Bank,Not available,3-5 days,96.0,yes,Nationwide,,,25.0,1.86,26.86,10.0,1.86,11.86
