PERIOD,SOURCE_CODE,SOURCE_NAME,DESTINATION_CODE,DESTINATION_NAME,FIRM,FIRM_TYPE,PAYMENT INSTRUMENT,SPEED ACTUAL,CC1 LCU AMOUNT,CC1 DENOMINATION AMOUNT,CC1 LCU CODE,CC1 LCU FEE,CC1 LCU FX RATE,CC1 FX MARGIN,CC1 TOTAL COST %,CC2 LCU AMOUNT,CC2 DENOMINATION AMOUNT,CC2 LCU CODE,CC2 LCU FEE,CC2 LCU FX RATE,CC2 FX MARGIN,CC2 TOTAL COST %,INTER LCU BANK FX,TRANSPARENT,NOTE1,NOTE2,PICK-UP METHOD,DATE,CORRIDOR
2011_1Q,TZA,Tanzania,KEN,Kenya,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,295000,200,TZS,20650,0.000651,1.36,8.36,735000,500,TZS,38220,0.000651,1.36,6.56,0.00066,yes,Through MoneyGram,,Cash,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,KCB (Kenya Commercial Bank),Bank,Account to account (same bank),Same day,295000,200,TZS,29500,0.0006532,1.03,11.03,735000,500,TZS,29400,0.0006532,1.03,5.03,0.00066,yes,,,Own/partner Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,NMB (National Microfinance Bank),Non-Bank FI,N/A,3-5 days,295000,200,TZS,29500,0.0006494,1.61,11.61,735000,500,TZS,29400,0.0006494,1.61,5.61,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Tanzania Postal Corporation,Post office,Cash to cash,Less than one hour,295000,200,TZS,32450,0.000651,1.36,12.36,735000,500,TZS,45570,0.000651,1.36,7.56,0.00066,yes,Through Western Union,,Cash,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Barclays,Bank,N/A,Next day,295000,200,TZS,51625,0.0006473,1.92,19.42,735000,500,TZS,51450,0.0006473,1.92,8.92,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,NBC (National Bank of Commerce Ltd),Bank,N/A,3-5 days,295000,200,TZS,73750,0.0006477,1.86,26.86,735000,500,TZS,73500,0.0006477,1.86,11.86,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Cooperative Rural Development Bank (CRDB),Bank,N/A,2 days,295000,200,TZS,73750,0.0006452,2.24,27.24,735000,500,TZS,73500,0.0006452,2.24,12.24,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,MoneyGram,Money Transfer Operator,N/A,Next day,295000,200,TZS,88500,0.0006627,-0.41,29.59,735000,500,TZS,88200,0.0006627,-0.41,11.59,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Stanbic Bank,Bank,N/A,2 days,295000,200,TZS,81125,0.000643,2.58,30.08,735000,500,TZS,80850,0.000643,2.58,13.58,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Exim Bank Tanzania Ltd,Bank,N/A,2 days,295000,200,TZS,88500,0.0006588,0.18,30.18,735000,500,TZS,88200,0.0006588,0.18,12.18,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,KCB (Kenya Commercial Bank),Bank,Account to account (other bank),2 days,295000,200,TZS,88500,0.0006532,1.03,31.03,735000,500,TZS,88200,0.0006532,1.03,13.03,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,KEN,Kenya,Standard Charterd Bank Tanzania,Bank,N/A,2 days,295000,200,TZS,132750,0.0006557,0.65,45.65,735000,500,TZS,132300,0.0006557,0.65,18.65,0.00066,yes,,,Bank Account,2011-01-24,TZAKEN
2011_1Q,TZA,Tanzania,RWA,Rwanda,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,295000,200,TZS,20650,0.000651,1.36,8.36,735000,500,TZS,38220,0.000651,1.36,6.56,0.00066,yes,Through MoneyGram,,,2011-01-24,TZARWA
2011_1Q,TZA,Tanzania,RWA,Rwanda,KCB (Kenya Commercial Bank),Bank,Account to account (same bank),Same day,295000,200,TZS,29500,0.0006532,1.03,11.03,735000,500,TZS,29400,0.0006532,1.03,5.03,0.00066,yes,,,,2011-01-24,TZARWA
2011_1Q,TZA,Tanzania,RWA,Rwanda,NMB (National Microfinance Bank),Non-Bank FI,N/A,3-5 days,295000,200,TZS,29500,0.0006494,1.61,11.61,735000,500,TZS,29400,0.0006494,1.61,5.61,0.00066,yes,,,,2011-01-24,TZARWA
2011_1Q,TZA,Tanzania,RWA,Rwanda,Tanzania Postal Corporation,Post office,Cash to cash,Less than one hour,295000,200,TZS,32450,0.000651,1.36,12.36,735000,500,TZS,45570,0.000651,1.36,7.56,0.00066,yes,Through Western Union,,,2011-01-24,TZARWA
2011_1Q,TZA,Tanzania,RWA,Rwanda,Barclays,Bank,N/A,Next day,295000,200,TZS,51625,0.0006473,1.92,19.42,735000,500,TZS,51450,0.0006473,1.92,8.92,0.00066,yes,,,,2011-01-24,TZARWA
2011_1Q,TZA,Tanzania,RWA,Rwanda,NBC (National Bank of Commerce Ltd),Bank,N/A,3-5 days,295000,200,TZS,73750,0.0006477,1.86,26.86,735000,500,TZS,73500,0.0006477,1.86,11.86,0.00066,yes,,,,2011-01-24,TZARWA
